Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/10/2020,AQS,560050123,1,2.7,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/11/2020,AQS,560050123,1,2.2,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/12/2020,AQS,560050123,1,1,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/13/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/14/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/15/2020,AQS,560050123,1,1.2,ppb,1,Thunder Basin,21,88,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/16/2020,AQS,560050123,1,3.8,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/17/2020,AQS,560050123,1,4,ppb,4,Thunder Basin,21,88,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/18/2020,AQS,560050123,1,2.4,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/19/2020,AQS,560050123,1,3.3,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/20/2020,AQS,560050123,1,1.1,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/21/2020,AQS,560050123,1,3.2,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/22/2020,AQS,560050123,1,2.1,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/23/2020,AQS,560050123,1,3.5,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/24/2020,AQS,560050123,1,2.5,ppb,2,Thunder Basin,20,83,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/25/2020,AQS,560050123,1,0.8,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/26/2020,AQS,560050123,1,2.3,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/27/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/28/2020,AQS,560050123,1,2.2,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/29/2020,AQS,560050123,1,4.4,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/30/2020,AQS,560050123,1,2.4,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/31/2020,AQS,560050123,1,2.9,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/1/2020,AQS,560050123,1,0.7,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/2/2020,AQS,560050123,1,0.8,ppb,0,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/3/2020,AQS,560050123,1,2.2,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/4/2020,AQS,560050123,1,2.9,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/5/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/6/2020,AQS,560050123,1,2.6,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/7/2020,AQS,560050123,1,3.2,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/8/2020,AQS,560050123,1,1.2,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/9/2020,AQS,560050123,1,1.2,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/10/2020,AQS,560050123,1,1.9,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/11/2020,AQS,560050123,1,1,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/12/2020,AQS,560050123,1,0.8,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/13/2020,AQS,560050123,1,0.7,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/14/2020,AQS,560050123,1,2.6,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/15/2020,AQS,560050123,1,3.9,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/16/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/17/2020,AQS,560050123,1,3.1,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/18/2020,AQS,560050123,1,3.5,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/19/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/20/2020,AQS,560050123,1,5.3,ppb,5,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/21/2020,AQS,560050123,1,3.2,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/22/2020,AQS,560050123,1,1.7,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/23/2020,AQS,560050123,1,2.1,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/24/2020,AQS,560050123,1,0.8,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/25/2020,AQS,560050123,1,2.7,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/26/2020,AQS,560050123,1,1.8,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/27/2020,AQS,560050123,1,2.5,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/28/2020,AQS,560050123,1,2.4,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/29/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
4/30/2020,AQS,560050123,1,2.6,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/1/2020,AQS,560050123,1,4.3,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/2/2020,AQS,560050123,1,1.3,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/3/2020,AQS,560050123,1,1.3,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/4/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/5/2020,AQS,560050123,1,1.2,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/6/2020,AQS,560050123,1,1.6,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/7/2020,AQS,560050123,1,1.3,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/8/2020,AQS,560050123,1,2.4,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/9/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/10/2020,AQS,560050123,1,0.8,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/11/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/12/2020,AQS,560050123,1,1.4,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/13/2020,AQS,560050123,1,2.5,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/14/2020,AQS,560050123,1,1.9,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/15/2020,AQS,560050123,1,1.2,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/16/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
5/17/2020,AQS,560050123,1,1.1,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
